category,dates,value
최저기온(℃),1960-09-12,16.7
최고기온(℃),1960-09-13,30.7
최저기온(℃),1960-09-13,17.5
최고기온(℃),1960-09-14,21.5
최저기온(℃),1960-09-14,17.8
최고기온(℃),1960-09-15,23.8
최저기온(℃),1960-09-15,15.2
최고기온(℃),1960-09-16,25.7
최저기온(℃),1960-09-16,12.3
최고기온(℃),1960-09-17,20.8
최저기온(℃),1960-09-17,15.4
최고기온(℃),1960-09-18,20.8
최저기온(℃),1960-09-18,15.9
최고기온(℃),1960-09-19,27.8
최저기온(℃),1960-09-19,16.8
최고기온(℃),1960-09-20,27.9
최저기온(℃),1960-09-20,16.2
최고기온(℃),1960-09-21,27.2
최저기온(℃),1960-09-21,14.6
최고기온(℃),1960-09-22,25.3
최저기온(℃),1960-09-22,17.6
최고기온(℃),1960-09-23,24.9
최저기온(℃),1960-09-23,18.1
최고기온(℃),1960-09-24,25.1
최저기온(℃),1960-09-24,19.6
최고기온(℃),1960-09-25,27.2
최저기온(℃),1960-09-25,16.6
최고기온(℃),1960-09-26,20.7
최저기온(℃),1960-09-26,16.9
최고기온(℃),1960-09-27,22.5
최저기온(℃),1960-09-27,17.2
최고기온(℃),1960-09-28,23.5
최저기온(℃),1960-09-28,14.8
최고기온(℃),1960-09-29,18.3
최저기온(℃),1960-09-29,14.1
최고기온(℃),1960-09-30,18.6
최저기온(℃),1960-09-30,14.8
최고기온(℃),1961-07-01,32.3
최저기온(℃),1961-07-01,21.4
최고기온(℃),1961-07-02,28.0
최저기온(℃),1961-07-02,21.4
최고기온(℃),1961-07-03,26.6
최저기온(℃),1961-07-03,23.0
최고기온(℃),1961-07-04,31.1
최저기온(℃),1961-07-04,23.4
최고기온(℃),1961-07-05,31.5
최저기온(℃),1961-07-05,22.8
최고기온(℃),1961-07-06,25.0
최저기온(℃),1961-07-06,21.6
최고기온(℃),1961-07-07,24.6
최저기온(℃),1961-07-07,21.5
최고기온(℃),1961-07-08,25.8
최저기온(℃),1961-07-08,22.8
최고기온(℃),1961-07-09,27.5
최저기온(℃),1961-07-09,23.2
최고기온(℃),1961-07-10,28.3
최저기온(℃),1961-07-10,22.8
최고기온(℃),1961-07-11,29.0
최저기온(℃),1961-07-11,22.2
최고기온(℃),1961-07-12,25.6
최저기온(℃),1961-07-12,22.2
최고기온(℃),1961-07-13,27.4
최저기온(℃),1961-07-13,24.6
최고기온(℃),1961-07-14,26.7
최저기온(℃),1961-07-14,22.7
최고기온(℃),1961-07-15,29.8
최저기온(℃),1961-07-15,23.9
최고기온(℃),1961-07-16,30.6
최저기온(℃),1961-07-16,23.6
최고기온(℃),1961-07-17,31.8
최저기온(℃),1961-07-17,22.4
최고기온(℃),1961-07-18,33.5
최저기온(℃),1961-07-18,22.8
최고기온(℃),1961-07-19,33.4
최저기온(℃),1961-07-19,23.8
최고기온(℃),1961-07-20,31.3
최저기온(℃),1961-07-20,22.4
최고기온(℃),1961-07-21,29.7
최저기온(℃),1961-07-21,24.2
최고기온(℃),1961-07-22,31.5
최저기온(℃),1961-07-22,23.4
최고기온(℃),1961-07-23,32.7
최저기온(℃),1961-07-23,24.2
최고기온(℃),1961-07-24,32.7
최저기온(℃),1961-07-24,23.8
최고기온(℃),1961-07-25,33.0
최저기온(℃),1961-07-25,25.6
최고기온(℃),1961-07-26,33.3
최저기온(℃),1961-07-26,25.3
최고기온(℃),1961-07-27,30.5
최저기온(℃),1961-07-27,24.7
최고기온(℃),1961-07-28,27.4
최저기온(℃),1961-07-28,24.1
최고기온(℃),1961-07-29,33.5
최저기온(℃),1961-07-29,23.4
최고기온(℃),1961-07-30,33.9
최저기온(℃),1961-07-30,24.4
최고기온(℃),1961-07-31,34.4
최저기온(℃),1961-07-31,24.4
최고기온(℃),1961-08-01,35.3
최저기온(℃),1961-08-01,25.1
최고기온(℃),1961-08-02,34.2
최저기온(℃),1961-08-02,25.8
최고기온(℃),1961-08-03,35.1
최저기온(℃),1961-08-03,25.6
최고기온(℃),1961-08-04,30.0
최저기온(℃),1961-08-04,24.6
최고기온(℃),1961-08-05,33.1
최저기온(℃),1961-08-05,24.3
최고기온(℃),1961-08-06,32.8
최저기온(℃),1961-08-06,25.0
최고기온(℃),1961-08-07,33.5
최저기온(℃),1961-08-07,25.0
최고기온(℃),1961-08-08,30.3
최저기온(℃),1961-08-08,23.3
최고기온(℃),1961-08-09,31.4
최저기온(℃),1961-08-09,24.4
최고기온(℃),1961-08-10,30.3
최저기온(℃),1961-08-10,24.8
최고기온(℃),1961-08-11,30.5
최저기온(℃),1961-08-11,24.3
최고기온(℃),1961-08-12,28.0
최저기온(℃),1961-08-12,22.7
최고기온(℃),1961-08-13,30.7
최저기온(℃),1961-08-13,23.1
최고기온(℃),1961-08-14,32.0
최저기온(℃),1961-08-14,21.9
최고기온(℃),1961-08-15,29.6
최저기온(℃),1961-08-15,24.7
최고기온(℃),1961-08-16,26.1
최저기온(℃),1961-08-16,22.2
최고기온(℃),1961-08-17,31.2
최저기온(℃),1961-08-17,22.5
최고기온(℃),1961-08-18,33.4
최저기온(℃),1961-08-18,22.8
최고기온(℃),1961-08-19,33.5
최저기온(℃),1961-08-19,24.3
최고기온(℃),1961-08-20,30.3
최저기온(℃),1961-08-20,24.2
최고기온(℃),1961-08-21,31.3
최저기온(℃),1961-08-21,24.3
최고기온(℃),1961-08-22,31.3
최저기온(℃),1961-08-22,24.4
최고기온(℃),1961-08-23,31.1
최저기온(℃),1961-08-23,24.9
최고기온(℃),1961-08-24,30.0
최저기온(℃),1961-08-24,23.6
최고기온(℃),1961-08-25,29.7
최저기온(℃),1961-08-25,22.4
최고기온(℃),1961-08-26,32.2
최저기온(℃),1961-08-26,21.3
최고기온(℃),1961-08-27,31.3
최저기온(℃),1961-08-27,23.3
최고기온(℃),1961-08-28,31.4
최저기온(℃),1961-08-28,21.0
최고기온(℃),1961-08-29,29.5
최저기온(℃),1961-08-29,21.0
최고기온(℃),1961-08-30,24.9
최저기온(℃),1961-08-30,20.8
최고기온(℃),1961-08-31,26.3
최저기온(℃),1961-08-31,22.0
최고기온(℃),1961-09-01,22.8
최저기온(℃),1961-09-01,19.6
최고기온(℃),1961-09-02,30.0
최저기온(℃),1961-09-02,17.7
최고기온(℃),1961-09-03,28.9
최저기온(℃),1961-09-03,20.3
최고기온(℃),1961-09-04,31.7
최저기온(℃),1961-09-04,23.0
최고기온(℃),1961-09-05,26.1
최저기온(℃),1961-09-05,19.1
최고기온(℃),1961-09-06,27.8
최저기온(℃),1961-09-06,17.6
최고기온(℃),1961-09-07,30.0
최저기온(℃),1961-09-07,18.8
최고기온(℃),1961-09-08,24.2
최저기온(℃),1961-09-08,19.5
최고기온(℃),1961-09-09,28.0
최저기온(℃),1961-09-09,17.2
최고기온(℃),1961-09-10,28.8
최저기온(℃),1961-09-10,18.3
최고기온(℃),1961-09-11,27.9
최저기온(℃),1961-09-11,17.9
최고기온(℃),1961-09-12,29.1
최저기온(℃),1961-09-12,18.4
최고기온(℃),1961-09-13,22.3
최저기온(℃),1961-09-13,17.3
최고기온(℃),1961-09-14,20.3
최저기온(℃),1961-09-14,18.1
최고기온(℃),1961-09-15,27.5
최저기온(℃),1961-09-15,15.2
최고기온(℃),1961-09-16,25.5
최저기온(℃),1961-09-16,15.5
최고기온(℃),1961-09-17,22.3
최저기온(℃),1961-09-17,12.8
최고기온(℃),1961-09-18,23.4
최저기온(℃),1961-09-18,10.4
최고기온(℃),1961-09-19,24.2
최저기온(℃),1961-09-19,11.3
최고기온(℃),1961-09-20,24.7
최저기온(℃),1961-09-20,15.7
최고기온(℃),1961-09-21,27.2
최저기온(℃),1961-09-21,17.9
최고기온(℃),1961-09-22,26.2
최저기온(℃),1961-09-22,18.8
최고기온(℃),1961-09-23,25.1
최저기온(℃),1961-09-23,18.2
최고기온(℃),1961-09-24,26.1
최저기온(℃),1961-09-24,16.6
최고기온(℃),1961-09-25,19.4
최저기온(℃),1961-09-25,16.8
최고기온(℃),1961-09-26,27.2
최저기온(℃),1961-09-26,13.7
최고기온(℃),1961-09-27,27.9
최저기온(℃),1961-09-27,15.6
최고기온(℃),1961-09-28,29.4
최저기온(℃),1961-09-28,18.0
최고기온(℃),1961-09-29,26.0
최저기온(℃),1961-09-29,18.0
최고기온(℃),1961-09-30,25.2
최저기온(℃),1961-09-30,15.2
최고기온(℃),1962-07-01,32.9
최저기온(℃),1962-07-01,17.2
최고기온(℃),1962-07-02,35.0
최저기온(℃),1962-07-02,19.8
최고기온(℃),1962-07-03,31.5
최저기온(℃),1962-07-03,21.0
최고기온(℃),1962-07-04,30.6
최저기온(℃),1962-07-04,21.8
최고기온(℃),1962-07-05,34.5
최저기온(℃),1962-07-05,21.2
최고기온(℃),1962-07-06,34.1
최저기온(℃),1962-07-06,22.0
최고기온(℃),1962-07-07,30.4
최저기온(℃),1962-07-07,21.1
최고기온(℃),1962-07-08,32.3
최저기온(℃),1962-07-08,20.8
최고기온(℃),1962-07-09,24.4
최저기온(℃),1962-07-09,18.8
최고기온(℃),1962-07-10,30.6
최저기온(℃),1962-07-10,23.2
최고기온(℃),1962-07-11,26.3
최저기온(℃),1962-07-11,22.6
최고기온(℃),1962-07-12,29.8
최저기온(℃),1962-07-12,21.1
최고기온(℃),1962-07-13,29.6
최저기온(℃),1962-07-13,20.2
최고기온(℃),1962-07-14,33.2
최저기온(℃),1962-07-14,20.6
최고기온(℃),1962-07-15,30.7
최저기온(℃),1962-07-15,20.2
최고기온(℃),1962-07-16,34.0
최저기온(℃),1962-07-16,23.4
최고기온(℃),1962-07-17,27.8
최저기온(℃),1962-07-17,23.3
최고기온(℃),1962-07-18,29.3
최저기온(℃),1962-07-18,22.4
최고기온(℃),1962-07-19,28.0
최저기온(℃),1962-07-19,21.3
최고기온(℃),1962-07-20,24.3
최저기온(℃),1962-07-20,21.5
최고기온(℃),1962-07-21,30.6
최저기온(℃),1962-07-21,21.4
최고기온(℃),1962-07-22,26.8
최저기온(℃),1962-07-22,22.4
최고기온(℃),1962-07-23,26.6
최저기온(℃),1962-07-23,21.4
