category,dates,value
최저기온(℃),1971-07-25,20.9
최고기온(℃),1971-07-26,26.0
최저기온(℃),1971-07-26,20.9
최고기온(℃),1971-07-27,30.8
최저기온(℃),1971-07-27,24.9
최고기온(℃),1971-07-28,28.0
최저기온(℃),1971-07-28,25.4
최고기온(℃),1971-07-29,25.9
최저기온(℃),1971-07-29,24.3
최고기온(℃),1971-07-30,26.9
최저기온(℃),1971-07-30,21.9
최고기온(℃),1971-07-31,32.0
최저기온(℃),1971-07-31,24.6
최고기온(℃),1971-08-01,31.2
최저기온(℃),1971-08-01,24.4
최고기온(℃),1971-08-02,33.2
최저기온(℃),1971-08-02,23.6
최고기온(℃),1971-08-03,33.2
최저기온(℃),1971-08-03,25.4
최고기온(℃),1971-08-04,31.7
최저기온(℃),1971-08-04,24.2
최고기온(℃),1971-08-05,26.1
최저기온(℃),1971-08-05,22.6
최고기온(℃),1971-08-06,28.9
최저기온(℃),1971-08-06,20.0
최고기온(℃),1971-08-07,30.2
최저기온(℃),1971-08-07,20.0
최고기온(℃),1971-08-08,30.9
최저기온(℃),1971-08-08,21.4
최고기온(℃),1971-08-09,32.2
최저기온(℃),1971-08-09,22.0
최고기온(℃),1971-08-10,26.8
최저기온(℃),1971-08-10,21.9
최고기온(℃),1971-08-11,27.3
최저기온(℃),1971-08-11,21.9
최고기온(℃),1971-08-12,28.5
최저기온(℃),1971-08-12,21.6
최고기온(℃),1971-08-13,30.0
최저기온(℃),1971-08-13,22.4
최고기온(℃),1971-08-14,28.5
최저기온(℃),1971-08-14,23.5
최고기온(℃),1971-08-15,27.7
최저기온(℃),1971-08-15,24.6
최고기온(℃),1971-08-16,28.6
최저기온(℃),1971-08-16,22.9
최고기온(℃),1971-08-17,27.2
최저기온(℃),1971-08-17,20.1
최고기온(℃),1971-08-18,23.6
최저기온(℃),1971-08-18,20.3
최고기온(℃),1971-08-19,20.3
최저기온(℃),1971-08-19,15.9
최고기온(℃),1971-08-20,24.9
최저기온(℃),1971-08-20,17.6
최고기온(℃),1971-08-21,27.8
최저기온(℃),1971-08-21,19.4
최고기온(℃),1971-08-22,23.1
최저기온(℃),1971-08-22,18.8
최고기온(℃),1971-08-23,27.2
최저기온(℃),1971-08-23,18.8
최고기온(℃),1971-08-24,29.2
최저기온(℃),1971-08-24,20.5
최고기온(℃),1971-08-25,26.8
최저기온(℃),1971-08-25,21.3
최고기온(℃),1971-08-26,27.3
최저기온(℃),1971-08-26,22.1
최고기온(℃),1971-08-27,28.2
최저기온(℃),1971-08-27,21.1
최고기온(℃),1971-08-28,32.1
최저기온(℃),1971-08-28,20.2
최고기온(℃),1971-08-29,32.4
최저기온(℃),1971-08-29,23.0
최고기온(℃),1971-08-30,31.8
최저기온(℃),1971-08-30,22.8
최고기온(℃),1971-08-31,28.4
최저기온(℃),1971-08-31,21.0
최고기온(℃),1971-09-01,28.0
최저기온(℃),1971-09-01,18.8
최고기온(℃),1971-09-02,28.1
최저기온(℃),1971-09-02,19.9
최고기온(℃),1971-09-03,25.2
최저기온(℃),1971-09-03,21.6
최고기온(℃),1971-09-04,24.0
최저기온(℃),1971-09-04,20.2
최고기온(℃),1971-09-05,27.9
최저기온(℃),1971-09-05,17.8
최고기온(℃),1971-09-06,29.6
최저기온(℃),1971-09-06,18.4
최고기온(℃),1971-09-07,29.2
최저기온(℃),1971-09-07,18.4
최고기온(℃),1971-09-08,27.9
최저기온(℃),1971-09-08,19.1
최고기온(℃),1971-09-09,23.2
최저기온(℃),1971-09-09,19.3
최고기온(℃),1971-09-10,24.9
최저기온(℃),1971-09-10,18.4
최고기온(℃),1971-09-11,25.9
최저기온(℃),1971-09-11,16.8
최고기온(℃),1971-09-12,26.0
최저기온(℃),1971-09-12,16.0
최고기온(℃),1971-09-13,25.1
최저기온(℃),1971-09-13,15.3
최고기온(℃),1971-09-14,26.7
최저기온(℃),1971-09-14,15.4
최고기온(℃),1971-09-15,27.5
최저기온(℃),1971-09-15,16.4
최고기온(℃),1971-09-16,28.8
최저기온(℃),1971-09-16,18.0
최고기온(℃),1971-09-17,28.0
최저기온(℃),1971-09-17,18.2
최고기온(℃),1971-09-18,27.0
최저기온(℃),1971-09-18,15.5
최고기온(℃),1971-09-19,21.0
최저기온(℃),1971-09-19,12.1
최고기온(℃),1971-09-20,24.3
최저기온(℃),1971-09-20,10.3
최고기온(℃),1971-09-21,26.8
최저기온(℃),1971-09-21,16.1
최고기온(℃),1971-09-22,28.0
최저기온(℃),1971-09-22,16.1
최고기온(℃),1971-09-23,21.4
최저기온(℃),1971-09-23,19.7
최고기온(℃),1971-09-24,22.4
최저기온(℃),1971-09-24,19.8
최고기온(℃),1971-09-25,22.2
최저기온(℃),1971-09-25,18.0
최고기온(℃),1971-09-26,22.2
최저기온(℃),1971-09-26,15.8
최고기온(℃),1971-09-27,20.2
최저기온(℃),1971-09-27,13.2
최고기온(℃),1971-09-28,20.8
최저기온(℃),1971-09-28,9.7
최고기온(℃),1971-09-29,23.1
최저기온(℃),1971-09-29,12.6
최고기온(℃),1971-09-30,21.2
최저기온(℃),1971-09-30,16.2
최고기온(℃),1972-07-01,28.4
최저기온(℃),1972-07-01,17.5
최고기온(℃),1972-07-02,32.8
최저기온(℃),1972-07-02,19.0
최고기온(℃),1972-07-03,24.8
최저기온(℃),1972-07-03,21.5
최고기온(℃),1972-07-04,22.8
최저기온(℃),1972-07-04,21.0
최고기온(℃),1972-07-05,30.7
최저기온(℃),1972-07-05,20.8
최고기온(℃),1972-07-06,31.6
최저기온(℃),1972-07-06,22.9
최고기온(℃),1972-07-07,25.2
최저기온(℃),1972-07-07,24.1
최고기온(℃),1972-07-08,24.6
최저기온(℃),1972-07-08,21.2
최고기온(℃),1972-07-09,25.8
최저기온(℃),1972-07-09,19.8
최고기온(℃),1972-07-10,24.8
최저기온(℃),1972-07-10,18.1
최고기온(℃),1972-07-11,28.2
최저기온(℃),1972-07-11,19.0
최고기온(℃),1972-07-12,30.6
최저기온(℃),1972-07-12,19.3
최고기온(℃),1972-07-13,30.6
최저기온(℃),1972-07-13,18.8
최고기온(℃),1972-07-14,31.2
최저기온(℃),1972-07-14,19.4
최고기온(℃),1972-07-15,32.2
최저기온(℃),1972-07-15,21.3
최고기온(℃),1972-07-16,23.4
최저기온(℃),1972-07-16,21.2
최고기온(℃),1972-07-17,30.6
최저기온(℃),1972-07-17,21.3
최고기온(℃),1972-07-18,33.3
최저기온(℃),1972-07-18,23.1
최고기온(℃),1972-07-19,32.8
최저기온(℃),1972-07-19,22.6
최고기온(℃),1972-07-20,35.6
최저기온(℃),1972-07-20,25.9
최고기온(℃),1972-07-21,35.2
최저기온(℃),1972-07-21,25.6
최고기온(℃),1972-07-22,34.6
최저기온(℃),1972-07-22,26.2
최고기온(℃),1972-07-23,34.2
최저기온(℃),1972-07-23,25.4
최고기온(℃),1972-07-24,30.0
최저기온(℃),1972-07-24,24.0
최고기온(℃),1972-07-25,26.4
최저기온(℃),1972-07-25,22.3
최고기온(℃),1972-07-26,30.2
최저기온(℃),1972-07-26,25.1
최고기온(℃),1972-07-27,29.8
최저기온(℃),1972-07-27,24.1
최고기온(℃),1972-07-28,33.8
최저기온(℃),1972-07-28,23.6
최고기온(℃),1972-07-29,32.9
최저기온(℃),1972-07-29,24.5
최고기온(℃),1972-07-30,32.4
최저기온(℃),1972-07-30,24.0
최고기온(℃),1972-07-31,31.8
최저기온(℃),1972-07-31,22.9
최고기온(℃),1972-08-01,29.9
최저기온(℃),1972-08-01,22.0
최고기온(℃),1972-08-02,29.2
최저기온(℃),1972-08-02,21.8
최고기온(℃),1972-08-03,27.1
최저기온(℃),1972-08-03,23.0
최고기온(℃),1972-08-04,26.3
최저기온(℃),1972-08-04,23.3
최고기온(℃),1972-08-05,29.0
최저기온(℃),1972-08-05,24.5
최고기온(℃),1972-08-06,27.6
최저기온(℃),1972-08-06,23.6
최고기온(℃),1972-08-07,26.3
최저기온(℃),1972-08-07,21.9
최고기온(℃),1972-08-08,27.6
최저기온(℃),1972-08-08,22.1
최고기온(℃),1972-08-09,23.6
최저기온(℃),1972-08-09,18.8
최고기온(℃),1972-08-10,25.9
최저기온(℃),1972-08-10,19.6
최고기온(℃),1972-08-11,28.4
최저기온(℃),1972-08-11,19.2
최고기온(℃),1972-08-12,28.8
최저기온(℃),1972-08-12,19.5
최고기온(℃),1972-08-13,28.2
최저기온(℃),1972-08-13,18.1
최고기온(℃),1972-08-14,30.6
최저기온(℃),1972-08-14,19.6
최고기온(℃),1972-08-15,30.3
최저기온(℃),1972-08-15,23.0
최고기온(℃),1972-08-16,30.4
최저기온(℃),1972-08-16,24.8
최고기온(℃),1972-08-17,32.1
최저기온(℃),1972-08-17,21.8
최고기온(℃),1972-08-18,24.2
최저기온(℃),1972-08-18,18.0
최고기온(℃),1972-08-19,20.0
최저기온(℃),1972-08-19,17.8
최고기온(℃),1972-08-20,28.3
최저기온(℃),1972-08-20,16.6
최고기온(℃),1972-08-21,29.1
최저기온(℃),1972-08-21,17.5
최고기온(℃),1972-08-22,29.3
최저기온(℃),1972-08-22,18.5
최고기온(℃),1972-08-23,29.3
최저기온(℃),1972-08-23,18.6
최고기온(℃),1972-08-24,28.4
최저기온(℃),1972-08-24,17.6
최고기온(℃),1972-08-25,22.9
최저기온(℃),1972-08-25,17.6
최고기온(℃),1972-08-26,28.9
최저기온(℃),1972-08-26,19.2
최고기온(℃),1972-08-27,24.0
최저기온(℃),1972-08-27,18.5
최고기온(℃),1972-08-28,25.0
최저기온(℃),1972-08-28,16.2
최고기온(℃),1972-08-29,22.6
최저기온(℃),1972-08-29,16.2
최고기온(℃),1972-08-30,23.2
최저기온(℃),1972-08-30,15.8
최고기온(℃),1972-08-31,23.0
최저기온(℃),1972-08-31,16.8
최고기온(℃),1972-09-01,25.6
최저기온(℃),1972-09-01,13.0
최고기온(℃),1972-09-02,21.9
최저기온(℃),1972-09-02,16.6
최고기온(℃),1972-09-03,23.8
최저기온(℃),1972-09-03,19.8
최고기온(℃),1972-09-04,23.4
최저기온(℃),1972-09-04,17.0
최고기온(℃),1972-09-05,24.4
최저기온(℃),1972-09-05,14.8
최고기온(℃),1972-09-06,24.9
최저기온(℃),1972-09-06,16.3
최고기온(℃),1972-09-07,23.8
최저기온(℃),1972-09-07,16.4
최고기온(℃),1972-09-08,27.0
최저기온(℃),1972-09-08,16.7
최고기온(℃),1972-09-09,24.5
최저기온(℃),1972-09-09,16.5
최고기온(℃),1972-09-10,26.4
최저기온(℃),1972-09-10,14.4
최고기온(℃),1972-09-11,26.2
최저기온(℃),1972-09-11,16.5
최고기온(℃),1972-09-12,27.2
최저기온(℃),1972-09-12,18.0
최고기온(℃),1972-09-13,24.2
최저기온(℃),1972-09-13,18.8
최고기온(℃),1972-09-14,24.3
최저기온(℃),1972-09-14,16.7
최고기온(℃),1972-09-15,26.1
최저기온(℃),1972-09-15,17.0
최고기온(℃),1972-09-16,26.5
최저기온(℃),1972-09-16,16.4
최고기온(℃),1972-09-17,25.2
최저기온(℃),1972-09-17,17.7
최고기온(℃),1972-09-18,24.8
최저기온(℃),1972-09-18,16.7
최고기온(℃),1972-09-19,24.8
최저기온(℃),1972-09-19,15.8
최고기온(℃),1972-09-20,24.6
최저기온(℃),1972-09-20,13.6
최고기온(℃),1972-09-21,24.9
최저기온(℃),1972-09-21,13.7
최고기온(℃),1972-09-22,23.2
최저기온(℃),1972-09-22,14.2
최고기온(℃),1972-09-23,22.0
최저기온(℃),1972-09-23,11.4
최고기온(℃),1972-09-24,21.6
최저기온(℃),1972-09-24,10.6
최고기온(℃),1972-09-25,19.8
최저기온(℃),1972-09-25,10.0
최고기온(℃),1972-09-26,22.8
최저기온(℃),1972-09-26,10.3
최고기온(℃),1972-09-27,24.4
최저기온(℃),1972-09-27,15.0
최고기온(℃),1972-09-28,20.9
최저기온(℃),1972-09-28,10.7
최고기온(℃),1972-09-29,19.7
최저기온(℃),1972-09-29,10.2
최고기온(℃),1972-09-30,22.4
최저기온(℃),1972-09-30,9.5
최고기온(℃),1973-07-01,28.0
최저기온(℃),1973-07-01,19.8
최고기온(℃),1973-07-02,29.4
최저기온(℃),1973-07-02,19.7
최고기온(℃),1973-07-03,31.8
최저기온(℃),1973-07-03,22.4
최고기온(℃),1973-07-04,28.6
최저기온(℃),1973-07-04,22.9
최고기온(℃),1973-07-05,32.1
최저기온(℃),1973-07-05,23.0
최고기온(℃),1973-07-06,30.2
최저기온(℃),1973-07-06,22.7
최고기온(℃),1973-07-07,30.6
최저기온(℃),1973-07-07,21.8
최고기온(℃),1973-07-08,31.8
최저기온(℃),1973-07-08,22.3
최고기온(℃),1973-07-09,32.2
최저기온(℃),1973-07-09,23.0
최고기온(℃),1973-07-10,31.6
최저기온(℃),1973-07-10,22.4
최고기온(℃),1973-07-11,31.1
최저기온(℃),1973-07-11,23.6
최고기온(℃),1973-07-12,32.3
최저기온(℃),1973-07-12,23.5
최고기온(℃),1973-07-13,29.2
최저기온(℃),1973-07-13,24.8
최고기온(℃),1973-07-14,27.0
최저기온(℃),1973-07-14,23.8
최고기온(℃),1973-07-15,31.2
최저기온(℃),1973-07-15,24.8
최고기온(℃),1973-07-16,31.7
최저기온(℃),1973-07-16,24.2
최고기온(℃),1973-07-17,34.4
최저기온(℃),1973-07-17,24.0
최고기온(℃),1973-07-18,34.5
최저기온(℃),1973-07-18,26.8
최고기온(℃),1973-07-19,29.4
최저기온(℃),1973-07-19,23.0
최고기온(℃),1973-07-20,33.3
최저기온(℃),1973-07-20,26.8
최고기온(℃),1973-07-21,29.8
최저기온(℃),1973-07-21,24.0
최고기온(℃),1973-07-22,32.2
최저기온(℃),1973-07-22,24.3
최고기온(℃),1973-07-23,33.4
최저기온(℃),1973-07-23,24.3
최고기온(℃),1973-07-24,32.9
최저기온(℃),1973-07-24,24.4
최고기온(℃),1973-07-25,32.9
최저기온(℃),1973-07-25,25.9
최고기온(℃),1973-07-26,32.6
최저기온(℃),1973-07-26,26.0
최고기온(℃),1973-07-27,30.3
최저기온(℃),1973-07-27,25.2
최고기온(℃),1973-07-28,31.9
최저기온(℃),1973-07-28,23.9
최고기온(℃),1973-07-29,30.4
최저기온(℃),1973-07-29,24.0
최고기온(℃),1973-07-30,30.2
최저기온(℃),1973-07-30,22.2
최고기온(℃),1973-07-31,31.3
최저기온(℃),1973-07-31,21.5
최고기온(℃),1973-08-01,26.7
최저기온(℃),1973-08-01,22.2
최고기온(℃),1973-08-02,26.2
최저기온(℃),1973-08-02,21.6
최고기온(℃),1973-08-03,30.4
최저기온(℃),1973-08-03,21.9
최고기온(℃),1973-08-04,26.1
최저기온(℃),1973-08-04,22.4
최고기온(℃),1973-08-05,27.6
최저기온(℃),1973-08-05,23.2
최고기온(℃),1973-08-06,30.8
최저기온(℃),1973-08-06,24.8
최고기온(℃),1973-08-07,31.1
최저기온(℃),1973-08-07,23.7
최고기온(℃),1973-08-08,31.8
최저기온(℃),1973-08-08,23.2
최고기온(℃),1973-08-09,31.7
최저기온(℃),1973-08-09,24.3
최고기온(℃),1973-08-10,31.8
최저기온(℃),1973-08-10,24.0
최고기온(℃),1973-08-11,31.6
최저기온(℃),1973-08-11,24.0
최고기온(℃),1973-08-12,31.9
최저기온(℃),1973-08-12,22.5
최고기온(℃),1973-08-13,32.4
최저기온(℃),1973-08-13,22.8
최고기온(℃),1973-08-14,34.3
최저기온(℃),1973-08-14,23.0
최고기온(℃),1973-08-15,34.5
최저기온(℃),1973-08-15,24.8
최고기온(℃),1973-08-16,35.2
최저기온(℃),1973-08-16,25.3
최고기온(℃),1973-08-17,29.4
최저기온(℃),1973-08-17,23.1
최고기온(℃),1973-08-18,29.7
최저기온(℃),1973-08-18,23.1
최고기온(℃),1973-08-19,30.8
최저기온(℃),1973-08-19,22.3
최고기온(℃),1973-08-20,28.0
최저기온(℃),1973-08-20,22.9
최고기온(℃),1973-08-21,28.9
최저기온(℃),1973-08-21,24.2
최고기온(℃),1973-08-22,26.8
최저기온(℃),1973-08-22,24.0
최고기온(℃),1973-08-23,25.1
최저기온(℃),1973-08-23,22.0
최고기온(℃),1973-08-24,28.7
최저기온(℃),1973-08-24,21.9
최고기온(℃),1973-08-25,29.3
최저기온(℃),1973-08-25,22.9
최고기온(℃),1973-08-26,30.4
최저기온(℃),1973-08-26,22.7
최고기온(℃),1973-08-27,30.0
최저기온(℃),1973-08-27,21.5
최고기온(℃),1973-08-28,27.8
최저기온(℃),1973-08-28,23.8
최고기온(℃),1973-08-29,28.8
최저기온(℃),1973-08-29,22.0
최고기온(℃),1973-08-30,30.1
최저기온(℃),1973-08-30,22.5
최고기온(℃),1973-08-31,26.2
최저기온(℃),1973-08-31,21.2
최고기온(℃),1973-09-01,24.3
최저기온(℃),1973-09-01,20.6
최고기온(℃),1973-09-02,24.6
최저기온(℃),1973-09-02,19.2
최고기온(℃),1973-09-03,27.2
최저기온(℃),1973-09-03,17.9
최고기온(℃),1973-09-04,25.4
최저기온(℃),1973-09-04,19.4
최고기온(℃),1973-09-05,28.4
최저기온(℃),1973-09-05,18.5
최고기온(℃),1973-09-06,28.1
최저기온(℃),1973-09-06,19.2
최고기온(℃),1973-09-07,28.6
최저기온(℃),1973-09-07,17.9
최고기온(℃),1973-09-08,26.9
최저기온(℃),1973-09-08,18.9
최고기온(℃),1973-09-09,22.6
최저기온(℃),1973-09-09,17.9
최고기온(℃),1973-09-10,23.1
최저기온(℃),1973-09-10,17.3
최고기온(℃),1973-09-11,25.3
최저기온(℃),1973-09-11,15.2
최고기온(℃),1973-09-12,25.4
최저기온(℃),1973-09-12,14.0
최고기온(℃),1973-09-13,26.4
최저기온(℃),1973-09-13,17.2
최고기온(℃),1973-09-14,26.2
최저기온(℃),1973-09-14,16.8
최고기온(℃),1973-09-15,27.4
최저기온(℃),1973-09-15,17.0
최고기온(℃),1973-09-16,27.2
최저기온(℃),1973-09-16,16.5
최고기온(℃),1973-09-17,28.1
최저기온(℃),1973-09-17,17.3
최고기온(℃),1973-09-18,26.4
최저기온(℃),1973-09-18,18.7
최고기온(℃),1973-09-19,24.7
최저기온(℃),1973-09-19,19.2
최고기온(℃),1973-09-20,25.3
최저기온(℃),1973-09-20,18.0
최고기온(℃),1973-09-21,26.2
최저기온(℃),1973-09-21,16.6
최고기온(℃),1973-09-22,26.1
최저기온(℃),1973-09-22,17.8
최고기온(℃),1973-09-23,26.4
최저기온(℃),1973-09-23,15.9
최고기온(℃),1973-09-24,26.9
최저기온(℃),1973-09-24,17.2
최고기온(℃),1973-09-25,23.6
최저기온(℃),1973-09-25,16.7
최고기온(℃),1973-09-26,17.2
최저기온(℃),1973-09-26,9.3
최고기온(℃),1973-09-27,20.6
최저기온(℃),1973-09-27,8.3
최고기온(℃),1973-09-28,21.8
최저기온(℃),1973-09-28,8.6
최고기온(℃),1973-09-29,17.7
최저기온(℃),1973-09-29,13.6
최고기온(℃),1973-09-30,22.7
최저기온(℃),1973-09-30,14.2
최고기온(℃),1974-07-01,30.3
최저기온(℃),1974-07-01,18.2
최고기온(℃),1974-07-02,30.4
최저기온(℃),1974-07-02,19.8
최고기온(℃),1974-07-03,26.8
최저기온(℃),1974-07-03,20.3
최고기온(℃),1974-07-04,22.9
최저기온(℃),1974-07-04,19.9
최고기온(℃),1974-07-05,25.8
최저기온(℃),1974-07-05,19.5
최고기온(℃),1974-07-06,25.1
최저기온(℃),1974-07-06,19.5
최고기온(℃),1974-07-07,28.6
최저기온(℃),1974-07-07,20.1
최고기온(℃),1974-07-08,23.4
최저기온(℃),1974-07-08,19.6
최고기온(℃),1974-07-09,23.2
최저기온(℃),1974-07-09,19.7
최고기온(℃),1974-07-10,26.7
최저기온(℃),1974-07-10,20.0
최고기온(℃),1974-07-11,28.0
최저기온(℃),1974-07-11,20.4
최고기온(℃),1974-07-12,22.9
최저기온(℃),1974-07-12,20.9
최고기온(℃),1974-07-13,25.2
최저기온(℃),1974-07-13,19.8
최고기온(℃),1974-07-14,22.6
최저기온(℃),1974-07-14,18.6
최고기온(℃),1974-07-15,25.1
최저기온(℃),1974-07-15,20.6
최고기온(℃),1974-07-16,30.1
최저기온(℃),1974-07-16,21.0
최고기온(℃),1974-07-17,27.8
최저기온(℃),1974-07-17,21.9
최고기온(℃),1974-07-18,29.8
최저기온(℃),1974-07-18,22.7
최고기온(℃),1974-07-19,27.8
최저기온(℃),1974-07-19,22.9
최고기온(℃),1974-07-20,28.7
최저기온(℃),1974-07-20,22.8
최고기온(℃),1974-07-21,29.2
최저기온(℃),1974-07-21,23.3
최고기온(℃),1974-07-22,30.7
최저기온(℃),1974-07-22,22.4
최고기온(℃),1974-07-23,30.0
최저기온(℃),1974-07-23,19.7
최고기온(℃),1974-07-24,29.9
최저기온(℃),1974-07-24,19.7
최고기온(℃),1974-07-25,28.3
최저기온(℃),1974-07-25,22.3
최고기온(℃),1974-07-26,24.4
최저기온(℃),1974-07-26,20.2
최고기온(℃),1974-07-27,28.5
최저기온(℃),1974-07-27,22.4
최고기온(℃),1974-07-28,26.6
최저기온(℃),1974-07-28,22.7
최고기온(℃),1974-07-29,25.5
최저기온(℃),1974-07-29,21.1
최고기온(℃),1974-07-30,28.9
최저기온(℃),1974-07-30,22.3
최고기온(℃),1974-07-31,29.1
최저기온(℃),1974-07-31,23.2
최고기온(℃),1974-08-01,29.3
최저기온(℃),1974-08-01,23.3
최고기온(℃),1974-08-02,29.8
최저기온(℃),1974-08-02,24.4
최고기온(℃),1974-08-03,25.8
최저기온(℃),1974-08-03,23.2
최고기온(℃),1974-08-04,30.1
최저기온(℃),1974-08-04,23.6
최고기온(℃),1974-08-05,28.2
최저기온(℃),1974-08-05,24.8
최고기온(℃),1974-08-06,24.9
최저기온(℃),1974-08-06,22.8
최고기온(℃),1974-08-07,30.3
최저기온(℃),1974-08-07,22.2
최고기온(℃),1974-08-08,30.5
최저기온(℃),1974-08-08,22.8
최고기온(℃),1974-08-09,30.2
최저기온(℃),1974-08-09,21.4
최고기온(℃),1974-08-10,31.4
최저기온(℃),1974-08-10,22.5
최고기온(℃),1974-08-11,32.6
최저기온(℃),1974-08-11,23.3
최고기온(℃),1974-08-12,32.2
최저기온(℃),1974-08-12,24.0
최고기온(℃),1974-08-13,32.9
최저기온(℃),1974-08-13,22.8
최고기온(℃),1974-08-14,29.4
최저기온(℃),1974-08-14,24.0
최고기온(℃),1974-08-15,27.6
최저기온(℃),1974-08-15,22.3
최고기온(℃),1974-08-16,31.5
최저기온(℃),1974-08-16,21.8
최고기온(℃),1974-08-17,31.6
최저기온(℃),1974-08-17,23.5
최고기온(℃),1974-08-18,30.7
최저기온(℃),1974-08-18,20.8
최고기온(℃),1974-08-19,33.9
최저기온(℃),1974-08-19,21.4
최고기온(℃),1974-08-20,33.7
최저기온(℃),1974-08-20,25.4
최고기온(℃),1974-08-21,32.4
최저기온(℃),1974-08-21,24.7
최고기온(℃),1974-08-22,30.8
최저기온(℃),1974-08-22,24.4
최고기온(℃),1974-08-23,25.4
최저기온(℃),1974-08-23,19.0
최고기온(℃),1974-08-24,24.6
최저기온(℃),1974-08-24,18.8
최고기온(℃),1974-08-25,28.3
최저기온(℃),1974-08-25,15.7
최고기온(℃),1974-08-26,29.9
최저기온(℃),1974-08-26,17.6
최고기온(℃),1974-08-27,30.1
최저기온(℃),1974-08-27,20.2
최고기온(℃),1974-08-28,27.0
최저기온(℃),1974-08-28,17.8
최고기온(℃),1974-08-29,25.7
최저기온(℃),1974-08-29,16.9
최고기온(℃),1974-08-30,25.7
최저기온(℃),1974-08-30,19.5
최고기온(℃),1974-08-31,24.6
최저기온(℃),1974-08-31,19.7
최고기온(℃),1974-09-01,29.9
최저기온(℃),1974-09-01,21.2
최고기온(℃),1974-09-02,22.0
최저기온(℃),1974-09-02,20.5
최고기온(℃),1974-09-03,26.7
최저기온(℃),1974-09-03,21.2
최고기온(℃),1974-09-04,28.4
최저기온(℃),1974-09-04,20.8
최고기온(℃),1974-09-05,27.9
최저기온(℃),1974-09-05,20.3
최고기온(℃),1974-09-06,27.0
최저기온(℃),1974-09-06,20.1
최고기온(℃),1974-09-07,26.5
최저기온(℃),1974-09-07,19.1
최고기온(℃),1974-09-08,27.7
최저기온(℃),1974-09-08,20.2
최고기온(℃),1974-09-09,27.2
최저기온(℃),1974-09-09,17.9
최고기온(℃),1974-09-10,28.3
최저기온(℃),1974-09-10,17.9
최고기온(℃),1974-09-11,27.8
최저기온(℃),1974-09-11,18.0
최고기온(℃),1974-09-12,29.4
최저기온(℃),1974-09-12,17.4
최고기온(℃),1974-09-13,28.0
최저기온(℃),1974-09-13,19.1
최고기온(℃),1974-09-14,23.5
최저기온(℃),1974-09-14,15.4
최고기온(℃),1974-09-15,24.2
최저기온(℃),1974-09-15,14.4
최고기온(℃),1974-09-16,25.0
최저기온(℃),1974-09-16,12.2
최고기온(℃),1974-09-17,25.8
최저기온(℃),1974-09-17,15.1
최고기온(℃),1974-09-18,21.6
최저기온(℃),1974-09-18,12.4
최고기온(℃),1974-09-19,22.5
최저기온(℃),1974-09-19,11.2
최고기온(℃),1974-09-20,23.4
최저기온(℃),1974-09-20,12.1
최고기온(℃),1974-09-21,25.1
최저기온(℃),1974-09-21,14.0
최고기온(℃),1974-09-22,26.0
최저기온(℃),1974-09-22,13.2
최고기온(℃),1974-09-23,26.7
최저기온(℃),1974-09-23,15.9
최고기온(℃),1974-09-24,25.6
최저기온(℃),1974-09-24,15.2
최고기온(℃),1974-09-25,26.1
최저기온(℃),1974-09-25,15.3
최고기온(℃),1974-09-26,27.7
최저기온(℃),1974-09-26,15.4
최고기온(℃),1974-09-27,27.4
최저기온(℃),1974-09-27,14.7
최고기온(℃),1974-09-28,24.2
최저기온(℃),1974-09-28,16.7
최고기온(℃),1974-09-29,22.5
최저기온(℃),1974-09-29,14.2
최고기온(℃),1974-09-30,20.3
최저기온(℃),1974-09-30,13.2
최고기온(℃),1975-07-01,28.8
최저기온(℃),1975-07-01,20.4
최고기온(℃),1975-07-02,31.0
최저기온(℃),1975-07-02,21.0
최고기온(℃),1975-07-03,29.2
최저기온(℃),1975-07-03,23.0
최고기온(℃),1975-07-04,30.0
최저기온(℃),1975-07-04,21.2
최고기온(℃),1975-07-05,30.2
최저기온(℃),1975-07-05,20.8
최고기온(℃),1975-07-06,24.2
최저기온(℃),1975-07-06,19.4
최고기온(℃),1975-07-07,28.2
최저기온(℃),1975-07-07,18.4
최고기온(℃),1975-07-08,28.0
최저기온(℃),1975-07-08,20.1
최고기온(℃),1975-07-09,28.5
최저기온(℃),1975-07-09,19.5
최고기온(℃),1975-07-10,24.4
최저기온(℃),1975-07-10,19.8
최고기온(℃),1975-07-11,23.7
최저기온(℃),1975-07-11,19.4
최고기온(℃),1975-07-12,28.7
최저기온(℃),1975-07-12,18.4
최고기온(℃),1975-07-13,29.7
최저기온(℃),1975-07-13,20.0
최고기온(℃),1975-07-14,29.0
최저기온(℃),1975-07-14,21.2
최고기온(℃),1975-07-15,25.7
최저기온(℃),1975-07-15,22.0
최고기온(℃),1975-07-16,28.0
최저기온(℃),1975-07-16,21.7
최고기온(℃),1975-07-17,30.9
최저기온(℃),1975-07-17,22.3
최고기온(℃),1975-07-18,30.4
최저기온(℃),1975-07-18,22.4
최고기온(℃),1975-07-19,31.2
최저기온(℃),1975-07-19,25.2
최고기온(℃),1975-07-20,31.5
최저기온(℃),1975-07-20,24.6
최고기온(℃),1975-07-21,30.5
최저기온(℃),1975-07-21,25.0
최고기온(℃),1975-07-22,31.8
최저기온(℃),1975-07-22,25.4
최고기온(℃),1975-07-23,30.9
최저기온(℃),1975-07-23,25.2
최고기온(℃),1975-07-24,29.4
최저기온(℃),1975-07-24,24.2
최고기온(℃),1975-07-25,24.2
